Eruption Number,Volcano Name,Eruption Category,VEI,Start Year,Start Month,Start Day,End Year,End Month,End Day,Evidence Type,Evidence Method
17150,Kirishimayama,Confirmed,2.0,1898,2.0,8.0,1898.0,3.0,11.0,Observations,Reported
16101,Lamongan,Confirmed,2.0,1898,2.0,5.0,1898.0,2.0,15.0,Observations,Reported
14303,"Fournaise, Piton de la",Confirmed,2.0,1898,1.0,14.0,1898.0,1.0,20.0,Observations,Reported
13566,Tongariro,Confirmed,2.0,1898,1.0,,,,,Observations,Reported
15038,Ulawun,Confirmed,3.0,1898,,,,,,Observations,Reported
14089,Nyiragongo,Confirmed,1.0,1898,,,,,,Observations,Reported
19649,Changbaishan,Confirmed,2.0,1898,,,,,,Observations,Reported
20069,Shishaldin,Confirmed,2.0,1898,,,,,,Observations,Reported
11853,Lascar,Confirmed,2.0,1898,,,1900.0,,,Observations,Reported
11978,"Chillan, Nevados de",Confirmed,2.0,1898,,,,,,Observations,Reported
12137,Villarrica,Confirmed,2.0,1897,12.0,1.0,1898.0,2.0,1.0,Observations,Reported
11341,Dona Juana,Confirmed,4.0,1897,11.0,1.0,1906.0,,,Observations,Reported
16656,Gamalama,Confirmed,1.0,1897,9.0,7.0,1897.0,9.0,24.0,Observations,Reported
17825,Kusatsu-Shiranesan,Confirmed,2.0,1897,7.0,8.0,1897.0,8.0,16.0,Observations,Reported
10070,Kilauea,Confirmed,0.0,1897,6.0,24.0,1897.0,6.0,27.0,Observations,Reported
15334,Kuwae,Confirmed,1.0,1897,5.0,25.0,1901.0,,,Observations,Reported
16794,Mayon,Confirmed,4.0,1897,5.0,23.0,1897.0,7.0,23.0,Observations,Reported
15118,Bagana,Confirmed,2.0,1897,5.0,16.0,,,,Observations,Reported
17149,Kirishimayama,Confirmed,2.0,1897,5.0,3.0,1897.0,9.0,4.0,Observations,Reported
13968,"Barrier, The",Confirmed,2.0,1897,5.0,,,,,Observations,Reported
